source_file,entity_id,job_id,entity_status,results_job,sub_flag,start_time,fitness_1,fitness_2,mutate_type_count,most_common_mutate_type
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx03ns8V2hsSWKS8wt0vo08OEd,3284749,completed,3285142,True,1759999282.559459,0.8996999859809875,518134.0,1,CREATED
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx07m2ORALMVyuOPCnybxFT16W,3281688,completed,3282198,True,1759978514.2470534,0.9036999940872192,518230.0,1,CREATED
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx18NwTDfdgmZfFzrGUaZqPRkd,3281648,completed,3283990,True,1759978513.6151152,0.911300003528595,518230.0,1,CREATED
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx1ZLSQ84x3BToDFJewTAQcAc2,3281678,completed,3282193,True,1759978514.092399,0.911300003528595,518230.0,1,CREATED
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx1lZFZA3wfR7T6MMTF7Z5jAB9,3281661,completed,3282185,True,1759978513.8294215,-inf,inf,1,CREATED
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx22igeZHIeS8e1ZUdxQ6Ga7hK,3281674,completed,3282191,True,1759978514.0308032,-inf,inf,1,CREATED
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx2AM0bKYYIex69WI9JoEhJrCd,,,,,,,,1,CREATED
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx2QmcuCKlSc3AIhq7sI5PSqQv,3281696,completed,3282202,True,1759978514.370426,0.9081999659538269,518230.0,1,CREATED
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx2uCe9gALAAZBOS8OsoLLbi7r,3281665,completed,3282187,True,1759978513.8914297,0.9081999659538269,518230.0,1,CREATED
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,xXx3JpbfvPXzlcf1Rsft5vDsm4L,3281700,completed,3282204,True,1759978514.4317336,-inf,inf,1,CREATED
