source_file,job_id,entity_id,metric_name,metric_value,occurrence_index
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,,,global_data_count,93,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,,,global_data_hist_count,104,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,,,global_data_ancestry_count,115,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281643,xXx78zyRvDtF0ABV6f05Q82gdX6,entity_status,completed,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281643,xXx78zyRvDtF0ABV6f05Q82gdX6,results_job,3282176,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281643,xXx78zyRvDtF0ABV6f05Q82gdX6,sub_flag,True,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281643,xXx78zyRvDtF0ABV6f05Q82gdX6,start_time,1759978513.523995,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281643,xXx78zyRvDtF0ABV6f05Q82gdX6,fitness_1,-inf,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281643,xXx78zyRvDtF0ABV6f05Q82gdX6,fitness_2,inf,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281649,xXxON1eEVdbVHhCxjzp67OctcWi,entity_status,completed,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281649,xXxON1eEVdbVHhCxjzp67OctcWi,results_job,3282179,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281649,xXxON1eEVdbVHhCxjzp67OctcWi,sub_flag,True,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281649,xXxON1eEVdbVHhCxjzp67OctcWi,start_time,1759978513.6414676,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281649,xXxON1eEVdbVHhCxjzp67OctcWi,fitness_1,0.9241999983787537,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281649,xXxON1eEVdbVHhCxjzp67OctcWi,fitness_2,2261398.0,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281651,xXxxKDyeQJdLcgulzsGPHtYfIG8,entity_status,completed,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281651,xXxxKDyeQJdLcgulzsGPHtYfIG8,results_job,3282180,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281651,xXxxKDyeQJdLcgulzsGPHtYfIG8,sub_flag,True,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281651,xXxxKDyeQJdLcgulzsGPHtYfIG8,start_time,1759978513.672453,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281651,xXxxKDyeQJdLcgulzsGPHtYfIG8,fitness_1,-inf,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281651,xXxxKDyeQJdLcgulzsGPHtYfIG8,fitness_2,inf,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281655,xXxr1lD0oh1324pob4ZX7dMW1WF,entity_status,completed,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281655,xXxr1lD0oh1324pob4ZX7dMW1WF,results_job,3282182,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281655,xXxr1lD0oh1324pob4ZX7dMW1WF,sub_flag,True,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281655,xXxr1lD0oh1324pob4ZX7dMW1WF,start_time,1759978513.7348862,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281655,xXxr1lD0oh1324pob4ZX7dMW1WF,fitness_1,0.8988999724388123,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281655,xXxr1lD0oh1324pob4ZX7dMW1WF,fitness_2,518230.0,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281661,xXx1lZFZA3wfR7T6MMTF7Z5jAB9,entity_status,completed,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281661,xXx1lZFZA3wfR7T6MMTF7Z5jAB9,results_job,3282185,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281661,xXx1lZFZA3wfR7T6MMTF7Z5jAB9,sub_flag,True,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281661,xXx1lZFZA3wfR7T6MMTF7Z5jAB9,start_time,1759978513.8294215,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281661,xXx1lZFZA3wfR7T6MMTF7Z5jAB9,fitness_1,-inf,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281661,xXx1lZFZA3wfR7T6MMTF7Z5jAB9,fitness_2,inf,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281663,xXxLwfWnfgkvOoOHpOg3BXSplS8,entity_status,completed,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281663,xXxLwfWnfgkvOoOHpOg3BXSplS8,results_job,3282186,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281663,xXxLwfWnfgkvOoOHpOg3BXSplS8,sub_flag,True,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281663,xXxLwfWnfgkvOoOHpOg3BXSplS8,start_time,1759978513.860345,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281663,xXxLwfWnfgkvOoOHpOg3BXSplS8,fitness_1,0.913100004196167,1
/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl,3281663,xXxLwfWnfgkvOoOHpOg3BXSplS8,fitness_2,518566.0,1
