job_id,metric_name,metric_value,source_file
,global_data_count,93,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
,global_data_hist_count,104,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
,global_data_ancestry_count,115,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281643,entity_status,completed,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281643,results_job,3282176,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281643,sub_flag,True,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281643,start_time,1759978513.523995,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281643,fitness_1,-inf,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281643,fitness_2,inf,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281649,entity_status,completed,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281649,results_job,3282179,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281649,sub_flag,True,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281649,start_time,1759978513.6414676,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281649,fitness_1,0.9241999983787537,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281649,fitness_2,2261398.0,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281651,entity_status,completed,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281651,results_job,3282180,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281651,sub_flag,True,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281651,start_time,1759978513.672453,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281651,fitness_1,-inf,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281651,fitness_2,inf,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281655,entity_status,completed,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281655,results_job,3282182,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281655,sub_flag,True,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281655,start_time,1759978513.7348862,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281655,fitness_1,0.8988999724388123,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281655,fitness_2,518230.0,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281661,entity_status,completed,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281661,results_job,3282185,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281661,sub_flag,True,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281661,start_time,1759978513.8294215,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281661,fitness_1,-inf,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281661,fitness_2,inf,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281663,entity_status,completed,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281663,results_job,3282186,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281663,sub_flag,True,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281663,start_time,1759978513.860345,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281663,fitness_1,0.913100004196167,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281663,fitness_2,518566.0,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
3281665,entity_status,completed,/Users/deepthimunagapati/llm-guided-evolution-infrastructure/analysis/dashboard/uploads/global_gen_1.pkl
